# X Y Z i
284314.50 5036342.40 -26.00 0.000839
284334.50 5036342.40 -26.00 0.000706
284214.50 5036142.40 -22.00 0.001630
284234.50 5036142.40 -22.00 0.001665
284254.50 5036142.40 -22.00 0.001658
284274.50 5036142.40 -22.00 0.000924
284294.50 5036142.40 -22.00 0.000619
284314.50 5036142.40 -22.00 0.000739
284334.50 5036142.40 -22.00 0.000933
284214.50 5036162.40 -22.00 0.001625
284234.50 5036162.40 -22.00 0.001671
284254.50 5036162.40 -22.00 0.001768
284274.50 5036162.40 -22.00 0.001677
284294.50 5036162.40 -22.00 0.002394
284314.50 5036162.40 -22.00 0.002149
284334.50 5036162.40 -22.00 0.001643
284214.50 5036182.40 -22.00 0.001586
284234.50 5036182.40 -22.00 0.001584
284254.50 5036182.40 -22.00 0.001753
284274.50 5036182.40 -22.00 0.001873
284294.50 5036182.40 -22.00 0.002112
284314.50 5036182.40 -22.00 0.002127
284334.50 5036182.40 -22.00 0.001948
284214.50 5036202.40 -22.00 0.001517
284234.50 5036202.40 -22.00 0.001540
284254.50 5036202.40 -22.00 0.001332
284274.50 5036202.40 -22.00 0.001734
284294.50 5036202.40 -22.00 0.001666
284314.50 5036202.40 -22.00 0.001830
284334.50 5036202.40 -22.00 0.002103
284214.50 5036222.40 -22.00 0.001355
284234.50 5036222.40 -22.00 0.001232
284254.50 5036222.40 -22.00 0.001420
284274.50 5036222.40 -22.00 0.001675
284294.50 5036222.40 -22.00 0.001757
284314.50 5036222.40 -22.00 0.001302
284334.50 5036222.40 -22.00 0.002246
284214.50 5036242.40 -22.00 0.001287
284234.50 5036242.40 -22.00 0.000094
284254.50 5036242.40 -22.00 0.001551
284274.50 5036242.40 -22.00 0.001636
284294.50 5036242.40 -22.00 0.001724
284314.50 5036242.40 -22.00 0.001571
284334.50 5036242.40 -22.00 0.002181
284214.50 5036262.40 -22.00 0.001490
284234.50 5036262.40 -22.00 0.001510
284254.50 5036262.40 -22.00 0.001497
284274.50 5036262.40 -22.00 0.001513
284294.50 5036262.40 -22.00 0.001613
284314.50 5036262.40 -22.00 0.001919
284334.50 5036262.40 -22.00 0.001908
284214.50 5036282.40 -22.00 0.001547
284234.50 5036282.40 -22.00 0.001464
284254.50 5036282.40 -22.00 0.001553
284274.50 5036282.40 -22.00 0.001582
284294.50 5036282.40 -22.00 0.001605
284314.50 5036282.40 -22.00 0.001621
284334.50 5036282.40 -22.00 0.001202
284214.50 5036302.40 -22.00 0.001543
284234.50 5036302.40 -22.00 0.001549
284254.50 5036302.40 -22.00 0.001552
284274.50 5036302.40 -22.00 0.001180
284294.50 5036302.40 -22.00 0.000799
284314.50 5036302.40 -22.00 0.000900
284334.50 5036302.40 -22.00 0.000913
284214.50 5036322.40 -22.00 0.001534
284234.50 5036322.40 -22.00 0.001809
284254.50 5036322.40 -22.00 0.001532
284274.50 5036322.40 -22.00 0.001227
284294.50 5036322.40 -22.00 0.000951
284314.50 5036322.40 -22.00 0.000833
284334.50 5036322.40 -22.00 0.000760
284214.50 5036342.40 -22.00 0.001471
284234.50 5036342.40 -22.00 0.002007
284254.50 5036342.40 -22.00 0.002079
284274.50 5036342.40 -22.00 0.001550
284294.50 5036342.40 -22.00 0.001102
284314.50 5036342.40 -22.00 0.000872
284334.50 5036342.40 -22.00 0.000720
284214.50 5036142.40 -18.00 0.001637
284234.50 5036142.40 -18.00 0.001702
284254.50 5036142.40 -18.00 0.001668
284274.50 5036142.40 -18.00 0.001198
284294.50 5036142.40 -18.00 0.000361
284314.50 5036142.40 -18.00 0.000624
284334.50 5036142.40 -18.00 0.001042
284214.50 5036162.40 -18.00 0.001670
284234.50 5036162.40 -18.00 0.001719
284254.50 5036162.40 -18.00 0.001804
284274.50 5036162.40 -18.00 0.002170
284294.50 5036162.40 -18.00 0.002935
284314.50 5036162.40 -18.00 0.002478
284334.50 5036162.40 -18.00 0.001800
284214.50 5036182.40 -18.00 0.001601
284234.50 5036182.40 -18.00 0.001644
284254.50 5036182.40 -18.00 0.001849
284274.50 5036182.40 -18.00 0.001251
284294.50 5036182.40 -18.00 0.002489
284314.50 5036182.40 -18.00 0.002469
284334.50 5036182.40 -18.00 0.002145
284214.50 5036202.40 -18.00 0.001511
284234.50 5036202.40 -18.00 0.001536
284254.50 5036202.40 -18.00 0.001396
284274.50 5036202.40 -18.00 0.001854
284294.50 5036202.40 -18.00 0.002088
284314.50 5036202.40 -18.00 0.002091
284334.50 5036202.40 -18.00 0.002254
284214.50 5036222.40 -18.00 0.001321
284234.50 5036222.40 -18.00 0.001120
284254.50 5036222.40 -18.00 0.001371
284274.50 5036222.40 -18.00 0.001554
284294.50 5036222.40 -18.00 0.002268
284314.50 5036222.40 -18.00 0.001679
284334.50 5036222.40 -18.00 0.002448
284214.50 5036242.40 -18.00 0.001232
284234.50 5036242.40 -18.00 0.000041
284254.50 5036242.40 -18.00 0.001534
284274.50 5036242.40 -18.00 0.001593
284294.50 5036242.40 -18.00 0.001568
284314.50 5036242.40 -18.00 0.001882
284334.50 5036242.40 -18.00 0.002358
284214.50 5036262.40 -18.00 0.001472
284234.50 5036262.40 -18.00 0.001504
284254.50 5036262.40 -18.00 0.001503
284274.50 5036262.40 -18.00 0.001526
284294.50 5036262.40 -18.00 0.001616
284314.50 5036262.40 -18.00 0.002132
284334.50 5036262.40 -18.00 0.002021
284214.50 5036282.40 -18.00 0.001546
284234.50 5036282.40 -18.00 0.001464
284254.50 5036282.40 -18.00 0.001557
284274.50 5036282.40 -18.00 0.001579
284294.50 5036282.40 -18.00 0.001606
284314.50 5036282.40 -18.00 0.001621
284334.50 5036282.40 -18.00 0.001276
284214.50 5036302.40 -18.00 0.001545
284234.50 5036302.40 -18.00 0.001548
284254.50 5036302.40 -18.00 0.001552
284274.50 5036302.40 -18.00 0.000838
284294.50 5036302.40 -18.00 0.000881
284314.50 5036302.40 -18.00 0.000968
284334.50 5036302.40 -18.00 0.000954
284214.50 5036322.40 -18.00 0.001536
284234.50 5036322.40 -18.00 0.001833
284254.50 5036322.40 -18.00 0.001680
284274.50 5036322.40 -18.00 0.001315
284294.50 5036322.40 -18.00 0.001000
284314.50 5036322.40 -18.00 0.000863
284334.50 5036322.40 -18.00 0.000779
284214.50 5036342.40 -18.00 0.001580
284234.50 5036342.40 -18.00 0.002223
284254.50 5036342.40 -18.00 0.002317
284274.50 5036342.40 -18.00 0.001661
284294.50 5036342.40 -18.00 0.001152
284314.50 5036342.40 -18.00 0.000891
284334.50 5036342.40 -18.00 0.000730
284214.50 5036142.40 -14.00 0.001641
284234.50 5036142.40 -14.00 0.001666
284254.50 5036142.40 -14.00 0.001694
284274.50 5036142.40 -14.00 0.001496
284294.50 5036142.40 -14.00 0.000276
284314.50 5036142.40 -14.00 0.000387
284334.50 5036142.40 -14.00 0.001052
284214.50 5036162.40 -14.00 0.001680
284234.50 5036162.40 -14.00 0.001740
284254.50 5036162.40 -14.00 0.001837
284274.50 5036162.40 -14.00 0.002777
284294.50 5036162.40 -14.00 0.003555
284314.50 5036162.40 -14.00 0.002935
284334.50 5036162.40 -14.00 0.001857
284214.50 5036182.40 -14.00 0.001615
284234.50 5036182.40 -14.00 0.001710
284254.50 5036182.40 -14.00 0.001802
284274.50 5036182.40 -14.00 0.001800
284294.50 5036182.40 -14.00 0.002792
284314.50 5036182.40 -14.00 0.002756
284334.50 5036182.40 -14.00 0.002242
284214.50 5036202.40 -14.00 0.001512
284234.50 5036202.40 -14.00 0.001541
284254.50 5036202.40 -14.00 0.001437
284274.50 5036202.40 -14.00 0.001941
284294.50 5036202.40 -14.00 0.002470
284314.50 5036202.40 -14.00 0.002333
284334.50 5036202.40 -14.00 0.002366
284214.50 5036222.40 -14.00 0.001282
284234.50 5036222.40 -14.00 0.000966
284254.50 5036222.40 -14.00 0.001309
284274.50 5036222.40 -14.00 0.001502
284294.50 5036222.40 -14.00 0.002652
284314.50 5036222.40 -14.00 0.001815
284334.50 5036222.40 -14.00 0.002624
284214.50 5036242.40 -14.00 0.001178
284234.50 5036242.40 -14.00 0.000062
284254.50 5036242.40 -14.00 0.001507
284274.50 5036242.40 -14.00 0.001584
284294.50 5036242.40 -14.00 0.001485
284314.50 5036242.40 -14.00 0.002206
284334.50 5036242.40 -14.00 0.002566
284214.50 5036262.40 -14.00 0.001451
284234.50 5036262.40 -14.00 0.001499
284254.50 5036262.40 -14.00 0.001522
284274.50 5036262.40 -14.00 0.001532
284294.50 5036262.40 -14.00 0.001538
284314.50 5036262.40 -14.00 0.002363
284334.50 5036262.40 -14.00 0.002130
284214.50 5036282.40 -14.00 0.001548
284234.50 5036282.40 -14.00 0.001464
284254.50 5036282.40 -14.00 0.001558
284274.50 5036282.40 -14.00 0.001574
284294.50 5036282.40 -14.00 0.001605
284314.50 5036282.40 -14.00 0.001615
284334.50 5036282.40 -14.00 0.001346
284214.50 5036302.40 -14.00 0.001546
284234.50 5036302.40 -14.00 0.001551
284254.50 5036302.40 -14.00 0.001556
284274.50 5036302.40 -14.00 0.001209
284294.50 5036302.40 -14.00 0.000943
284314.50 5036302.40 -14.00 0.001022
284334.50 5036302.40 -14.00 0.000988
284214.50 5036322.40 -14.00 0.001541
284234.50 5036322.40 -14.00 0.001979
284254.50 5036322.40 -14.00 0.001813
284274.50 5036322.40 -14.00 0.001391
284294.50 5036322.40 -14.00 0.001050
284314.50 5036322.40 -14.00 0.000887
284334.50 5036322.40 -14.00 0.000792
284214.50 5036342.40 -14.00 0.001667
284234.50 5036342.40 -14.00 0.002440
284254.50 5036342.40 -14.00 0.002564
284274.50 5036342.40 -14.00 0.001750
284294.50 5036342.40 -14.00 0.001190
284314.50 5036342.40 -14.00 0.000902
284334.50 5036342.40 -14.00 0.000737
284214.50 5036142.40 -10.00 0.001640
284234.50 5036142.40 -10.00 0.001677
284254.50 5036142.40 -10.00 0.001700
284274.50 5036142.40 -10.00 0.001801
284294.50 5036142.40 -10.00 0.001162
284314.50 5036142.40 -10.00 0.000000
