# X Y Z i
284214.50 5036142.40 -30.00 0.002247
284234.50 5036142.40 -30.00 0.002257
284254.50 5036142.40 -30.00 0.002268
284274.50 5036142.40 -30.00 0.000961
284294.50 5036142.40 -30.00 0.000811
284314.50 5036142.40 -30.00 0.002184
284334.50 5036142.40 -30.00 0.001095
284214.50 5036162.40 -30.00 0.001190
284234.50 5036162.40 -30.00 0.000352
284254.50 5036162.40 -30.00 0.002250
284274.50 5036162.40 -30.00 0.002525
284294.50 5036162.40 -30.00 0.002427
284314.50 5036162.40 -30.00 0.001109
284334.50 5036162.40 -30.00 0.002277
284214.50 5036182.40 -30.00 0.001731
284234.50 5036182.40 -30.00 0.000349
284254.50 5036182.40 -30.00 0.000373
284274.50 5036182.40 -30.00 0.001687
284294.50 5036182.40 -30.00 0.002159
284314.50 5036182.40 -30.00 0.002517
284334.50 5036182.40 -30.00 0.001514
284214.50 5036202.40 -30.00 0.001760
284234.50 5036202.40 -30.00 0.002026
284254.50 5036202.40 -30.00 0.000997
284274.50 5036202.40 -30.00 0.001644
284294.50 5036202.40 -30.00 0.001515
284314.50 5036202.40 -30.00 0.000877
284334.50 5036202.40 -30.00 0.002322
284214.50 5036222.40 -30.00 0.001275
284234.50 5036222.40 -30.00 0.000775
284254.50 5036222.40 -30.00 0.002314
284274.50 5036222.40 -30.00 0.002311
284294.50 5036222.40 -30.00 0.000750
284314.50 5036222.40 -30.00 0.001391
284334.50 5036222.40 -30.00 0.002555
284214.50 5036242.40 -30.00 0.002406
284234.50 5036242.40 -30.00 0.000012
284254.50 5036242.40 -30.00 0.002255
284274.50 5036242.40 -30.00 0.002373
284294.50 5036242.40 -30.00 0.001271
284314.50 5036242.40 -30.00 0.002956
284334.50 5036242.40 -30.00 0.001487
284214.50 5036262.40 -30.00 0.000273
284234.50 5036262.40 -30.00 0.001913
284254.50 5036262.40 -30.00 0.000277
284274.50 5036262.40 -30.00 0.002510
284294.50 5036262.40 -30.00 0.001717
284314.50 5036262.40 -30.00 0.001863
284334.50 5036262.40 -30.00 0.003892
284214.50 5036282.40 -30.00 0.001020
284234.50 5036282.40 -30.00 0.001498
284254.50 5036282.40 -30.00 0.001186
284274.50 5036282.40 -30.00 0.001197
284294.50 5036282.40 -30.00 0.002506
284314.50 5036282.40 -30.00 0.001080
284334.50 5036282.40 -30.00 0.000568
284214.50 5036302.40 -30.00 0.001987
284234.50 5036302.40 -30.00 0.000454
284254.50 5036302.40 -30.00 0.000922
284274.50 5036302.40 -30.00 0.003134
284294.50 5036302.40 -30.00 0.000408
284314.50 5036302.40 -30.00 0.003766
