# X Y Z i
284314.50 5036342.40 -26.00 0.001743
284334.50 5036342.40 -26.00 0.000723
284214.50 5036142.40 -22.00 0.000470
284234.50 5036142.40 -22.00 0.000400
284254.50 5036142.40 -22.00 0.000462
284274.50 5036142.40 -22.00 0.002836
284294.50 5036142.40 -22.00 0.001198
284314.50 5036142.40 -22.00 0.001985
284334.50 5036142.40 -22.00 0.000293
284214.50 5036162.40 -22.00 0.001916
284234.50 5036162.40 -22.00 0.002686
284254.50 5036162.40 -22.00 0.003124
284274.50 5036162.40 -22.00 0.000927
284294.50 5036162.40 -22.00 0.001835
284314.50 5036162.40 -22.00 0.001213
284334.50 5036162.40 -22.00 0.000643
284214.50 5036182.40 -22.00 0.002576
284234.50 5036182.40 -22.00 0.002859
284254.50 5036182.40 -22.00 0.000586
284274.50 5036182.40 -22.00 0.002906
284294.50 5036182.40 -22.00 0.000489
284314.50 5036182.40 -22.00 0.000653
284334.50 5036182.40 -22.00 0.002852
284214.50 5036202.40 -22.00 0.001638
284234.50 5036202.40 -22.00 0.000357
284254.50 5036202.40 -22.00 0.003928
284274.50 5036202.40 -22.00 0.004101
284294.50 5036202.40 -22.00 0.001478
284314.50 5036202.40 -22.00 0.001184
284334.50 5036202.40 -22.00 0.001229
284214.50 5036222.40 -22.00 0.002076
284234.50 5036222.40 -22.00 0.001025
284254.50 5036222.40 -22.00 0.002431
284274.50 5036222.40 -22.00 0.002092
284294.50 5036222.40 -22.00 0.000275
284314.50 5036222.40 -22.00 0.001891
284334.50 5036222.40 -22.00 0.000850
284214.50 5036242.40 -22.00 0.002184
284234.50 5036242.40 -22.00 0.005894
284254.50 5036242.40 -22.00 0.000993
284274.50 5036242.40 -22.00 0.002652
284294.50 5036242.40 -22.00 0.002407
284314.50 5036242.40 -22.00 0.000547
284334.50 5036242.40 -22.00 0.002671
284214.50 5036262.40 -22.00 0.001152
284234.50 5036262.40 -22.00 0.001774
284254.50 5036262.40 -22.00 0.001017
284274.50 5036262.40 -22.00 0.001724
284294.50 5036262.40 -22.00 0.003726
284314.50 5036262.40 -22.00 0.000007
284334.50 5036262.40 -22.00 0.000284
284214.50 5036282.40 -22.00 0.001857
284234.50 5036282.40 -22.00 0.001181
284254.50 5036282.40 -22.00 0.001254
284274.50 5036282.40 -22.00 0.001118
284294.50 5036282.40 -22.00 0.001192
284314.50 5036282.40 -22.00 0.001936
284334.50 5036282.40 -22.00 0.000804
284214.50 5036302.40 -22.00 0.000246
284234.50 5036302.40 -22.00 0.000299
284254.50 5036302.40 -22.00 0.001968
284274.50 5036302.40 -22.00 0.001254
284294.50 5036302.40 -22.00 0.001594
284314.50 5036302.40 -22.00 0.000583
284334.50 5036302.40 -22.00 0.002151
284214.50 5036322.40 -22.00 0.000665
284234.50 5036322.40 -22.00 0.000780
284254.50 5036322.40 -22.00 0.000284
284274.50 5036322.40 -22.00 0.000955
284294.50 5036322.40 -22.00 0.001763
284314.50 5036322.40 -22.00 0.001558
284334.50 5036322.40 -22.00 0.001135
284214.50 5036342.40 -22.00 0.001328
284234.50 5036342.40 -22.00 0.000160
284254.50 5036342.40 -22.00 0.000281
284274.50 5036342.40 -22.00 0.001792
284294.50 5036342.40 -22.00 0.001251
284314.50 5036342.40 -22.00 0.000435
284334.50 5036342.40 -22.00 0.000688
284214.50 5036142.40 -18.00 0.000895
284234.50 5036142.40 -18.00 0.001236
284254.50 5036142.40 -18.00 0.002088
284274.50 5036142.40 -18.00 0.000571
284294.50 5036142.40 -18.00 0.002859
284314.50 5036142.40 -18.00 0.002396
284334.50 5036142.40 -18.00 0.001016
284214.50 5036162.40 -18.00 0.000993
284234.50 5036162.40 -18.00 0.002698
284254.50 5036162.40 -18.00 0.001506
284274.50 5036162.40 -18.00 0.000425
284294.50 5036162.40 -18.00 0.001026
284314.50 5036162.40 -18.00 0.002840
284334.50 5036162.40 -18.00 0.001756
284214.50 5036182.40 -18.00 0.002870
284234.50 5036182.40 -18.00 0.002770
284254.50 5036182.40 -18.00 0.001078
284274.50 5036182.40 -18.00 0.003515
284294.50 5036182.40 -18.00 0.001714
284314.50 5036182.40 -18.00 0.003022
284334.50 5036182.40 -18.00 0.000000
284214.50 5036202.40 -18.00 0.000645
284234.50 5036202.40 -18.00 0.001950
284254.50 5036202.40 -18.00 0.001408
284274.50 5036202.40 -18.00 0.004300
284294.50 5036202.40 -18.00 0.001742
284314.50 5036202.40 -18.00 0.000279
284334.50 5036202.40 -18.00 0.002478
284214.50 5036222.40 -18.00 0.000579
284234.50 5036222.40 -18.00 0.001184
284254.50 5036222.40 -18.00 0.004723
284274.50 5036222.40 -18.00 0.002739
284294.50 5036222.40 -18.00 0.002683
284314.50 5036222.40 -18.00 0.000637
284334.50 5036222.40 -18.00 0.002362
284214.50 5036242.40 -18.00 0.000186
284234.50 5036242.40 -18.00 0.000000
284254.50 5036242.40 -18.00 0.000434
284274.50 5036242.40 -18.00 0.000390
284294.50 5036242.40 -18.00 0.003304
284314.50 5036242.40 -18.00 0.003538
284334.50 5036242.40 -18.00 0.000424
284214.50 5036262.40 -18.00 0.000250
284234.50 5036262.40 -18.00 0.001906
284254.50 5036262.40 -18.00 0.001603
284274.50 5036262.40 -18.00 0.002764
284294.50 5036262.40 -18.00 0.002299
284314.50 5036262.40 -18.00 0.001968
284334.50 5036262.40 -18.00 0.000937
284214.50 5036282.40 -18.00 0.000638
284234.50 5036282.40 -18.00 0.000413
284254.50 5036282.40 -18.00 0.001174
284274.50 5036282.40 -18.00 0.001844
