# X Y i
-20.00 -2.00 0.002023
-20.00 -10.00 0.005889
-19.20 -10.00 0.009565
-18.40 -10.00 0.012785
-17.60 -10.00 0.015288
-16.80 -10.00 0.016877
-16.00 -10.00 0.017451
-15.20 -10.00 0.017020
-14.40 -10.00 0.015701
-13.60 -10.00 0.013697
-12.80 -10.00 0.011268
-12.00 -10.00 0.008691
-11.20 -10.00 0.006227
-10.40 -10.00 0.004085
-9.60 -10.00 0.002397
-8.80 -10.00 0.001208
-8.00 -10.00 0.000483
-7.20 -10.00 0.000126
-6.40 -10.00 0.000007
-5.60 -10.00 0.000000
-4.80 -10.00 0.000015
-4.00 -10.00 0.000018
-3.20 -10.00 0.000009
-2.40 -10.00 0.000002
-1.60 -10.00 0.000000
-0.80 -10.00 0.000000
0.00 -10.00 0.000000
0.80 -10.00 0.000000
1.60 -10.00 0.000000
2.40 -10.00 0.000000
3.20 -10.00 0.000000
4.00 -10.00 0.000000
4.80 -10.00 0.000000
5.60 -10.00 0.000000
6.40 -10.00 0.000000
7.20 -10.00 0.000000
8.00 -10.00 0.000000
8.80 -10.00 0.000000
9.60 -10.00 0.000000
10.40 -10.00 0.000000
11.20 -10.00 0.000000
12.00 -10.00 0.000000
12.80 -10.00 0.000000
13.60 -10.00 0.000002
14.40 -10.00 0.000000
15.20 -10.00 0.000000
16.00 -10.00 0.000084
16.80 -10.00 0.000417
17.60 -10.00 0.001047
-20.00 -9.20 0.004932
-19.20 -9.20 0.008563
-18.40 -9.20 0.011680
-17.60 -9.20 0.014049
-16.80 -9.20 0.015500
-16.00 -9.20 0.015960
-15.20 -9.20 0.015463
-14.40 -9.20 0.014142
-13.60 -9.20 0.012212
-12.80 -9.20 0.009929
-12.00 -9.20 0.007559
-11.20 -9.20 0.005339
-10.40 -9.20 0.003447
-9.60 -9.20 0.001986
-8.80 -9.20 0.000980
-8.00 -9.20 0.000382
-7.20 -9.20 0.000095
-6.40 -9.20 0.000004
-5.60 -9.20 0.000000
-4.80 -9.20 0.000012
-4.00 -9.20 0.000014
-3.20 -9.20 0.000007
-2.40 -9.20 0.000001
-1.60 -9.20 0.000000
-0.80 -9.20 0.000000
0.00 -9.20 0.000000
0.80 -9.20 0.000000
1.60 -9.20 0.000000
2.40 -9.20 0.000000
3.20 -9.20 0.000000
4.00 -9.20 0.000000
4.80 -9.20 0.000000
5.60 -9.20 0.000000
6.40 -9.20 0.000000
7.20 -9.20 0.000000
8.00 -9.20 0.000000
8.80 -9.20 0.000000
9.60 -9.20 0.000000
10.40 -9.20 0.000000
11.20 -9.20 0.000000
12.00 -9.20 0.000000
12.80 -9.20 0.000000
13.60 -9.20 0.000000
14.40 -9.20 0.000000
15.20 -9.20 0.000000
16.00 -9.20 0.000032
16.80 -9.20 0.000159
17.60 -9.20 0.000374
-20.00 -8.40 0.004124
-19.20 -8.40 0.007624
-18.40 -8.40 0.010601
-17.60 -8.40 0.012821
-16.80 -8.40 0.014129
-16.00 -8.40 0.014472
-15.20 -8.40 0.013905
-14.40 -8.40 0.012582
-13.60 -8.40 0.010726
-12.80 -8.40 0.008592
-12.00 -8.40 0.006431
-11.20 -8.40 0.004456
-10.40 -8.40 0.002815
-9.60 -8.40 0.001581
-8.80 -8.40 0.000755
-8.00 -8.40 0.000282
-7.20 -8.40 0.000065
-6.40 -8.40 0.000001
-5.60 -8.40 0.000001
-4.80 -8.40 0.000011
-4.00 -8.40 0.000011
-3.20 -8.40 0.000005
-2.40 -8.40 0.000001
-1.60 -8.40 0.000000
-0.80 -8.40 0.000000
0.00 -8.40 0.000000
0.80 -8.40 0.000000
1.60 -8.40 0.000000
2.40 -8.40 0.000000
3.20 -8.40 0.000000
4.00 -8.40 0.000000
4.80 -8.40 0.000000
5.60 -8.40 0.000000
6.40 -8.40 0.000000
7.20 -8.40 0.000000
8.00 -8.40 0.000000
8.80 -8.40 0.000000
9.60 -8.40 0.000000
10.40 -8.40 0.000000
11.20 -8.40 0.000000
12.00 -8.40 0.000000
12.80 -8.40 0.000000
13.60 -8.40 0.000000
14.40 -8.40 0.000000
15.20 -8.40 0.000000
16.00 -8.40 0.000003
16.80 -8.40 0.000022
17.60 -8.40 0.000062
-20.00 -7.60 0.003549
-19.20 -7.60 0.006819
-18.40 -7.60 0.009594
-17.60 -7.60 0.011631
-16.80 -7.60 0.012776
-16.00 -7.60 0.012990
-15.20 -7.60 0.012348
-14.40 -7.60 0.011022
-13.60 -7.60 0.009244
-12.80 -7.60 0.007266
-12.00 -7.60 0.005322
-11.20 -7.60 0.003596
-10.40 -7.60 0.002204
-9.60 -7.60 0.001192
-8.80 -7.60 0.000542
-8.00 -7.60 0.000188
-7.20 -7.60 0.000038
-6.40 -7.60 0.000000
-5.60 -7.60 0.000004
-4.80 -7.60 0.000011
-4.00 -7.60 0.000009
-3.20 -7.60 0.000004
-2.40 -7.60 0.000000
-1.60 -7.60 0.000000
-0.80 -7.60 0.000000
0.00 -7.60 0.000000
0.80 -7.60 0.000000
1.60 -7.60 0.000000
2.40 -7.60 0.000000
3.20 -7.60 0.000000
4.00 -7.60 0.000000
4.80 -7.60 0.000000
5.60 -7.60 0.000000
6.40 -7.60 0.000000
7.20 -7.60 0.000000
8.00 -7.60 0.000000
8.80 -7.60 0.000000
9.60 -7.60 0.000000
10.40 -7.60 0.000000
11.20 -7.60 0.000000
12.00 -7.60 0.000000
12.80 -7.60 0.000000
13.60 -7.60 0.000000
14.40 -7.60 0.000000
15.20 -7.60 0.000000
16.00 -7.60 0.000000
16.80 -7.60 0.000000
